datasetName,errorType,feature,modelName,percentage,epc_at
water_potability.csv,Outlier,Solids,LogisticRegression,0.6,0.7767
water_potability.csv,Outlier,Solids,LinearDiscriminantAnalysis,0.6,0.7768
water_potability.csv,Outlier,Chloramines,GaussianNB,0.8,0.7776
water_potability.csv,Outlier,Trihalomethanes,LinearDiscriminantAnalysis,0.6,0.7782
water_potability.csv,Noisy,Conductivity,GaussianNB,0.6,0.7785
water_potability.csv,Noisy,Solids,KNeighborsClassifier,0.4,0.7786
water_potability.csv,Outlier,Turbidity,RidgeClassifier,0.6,0.7791
water_potability.csv,Noisy,Trihalomethanes,LinearDiscriminantAnalysis,0.6,0.7794
water_potability.csv,Outlier,Chloramines,RidgeClassifier,0.6,0.7795
water_potability.csv,Noisy,Trihalomethanes,LogisticRegression,0.6,0.7802
water_potability.csv,Outlier,Turbidity,LogisticRegression,0.6,0.7804
water_potability.csv,Outlier,Organic_carbon,MLPClassifier,0.8,0.7805
water_potability.csv,Outlier,Turbidity,QuadraticDiscriminantAnalysis,0.6,0.7815
water_potability.csv,Noisy,Trihalomethanes,GaussianNB,0.8,0.7817
water_potability.csv,Noisy,Conductivity,LogisticRegression,0.6,0.7819
water_potability.csv,Missing,Sulfate,MLPClassifier,0.8,0.7831
water_potability.csv,Noisy,Solids,DecisionTreeClassifier,0.6,0.7839
water_potability.csv,Outlier,Trihalomethanes,RidgeClassifier,0.6,0.7839
water_potability.csv,Noisy,Trihalomethanes,RandomForestClassifier,0.6,0.785
water_potability.csv,Noisy,Turbidity,QuadraticDiscriminantAnalysis,0.8,0.7853
water_potability.csv,Outlier,Hardness,LinearDiscriminantAnalysis,0.8,0.7856
water_potability.csv,Noisy,Sulfate,GradientBoostingClassifier,0.6,0.7859
water_potability.csv,Labels,Potability,RidgeClassifier,0.4,0.7865
water_potability.csv,Noisy,Solids,ExtraTreesClassifier,0.8,0.7867
water_potability.csv,Outlier,Hardness,RidgeClassifier,0.8,0.7868
water_potability.csv,Noisy,Solids,RidgeClassifier,0.8,0.7871
water_potability.csv,Noisy,Chloramines,QuadraticDiscriminantAnalysis,0.6,0.7872
water_potability.csv,Noisy,Turbidity,ExtraTreesClassifier,0.6,0.7886
water_potability.csv,Noisy,Conductivity,DecisionTreeClassifier,0.6,0.7891
water_potability.csv,Noisy,Conductivity,RidgeClassifier,0.6,0.7894
water_potability.csv,Labels,Potability,LogisticRegression,0.6,0.7894
water_potability.csv,Noisy,Sulfate,DecisionTreeClassifier,0.4,0.7902
water_potability.csv,Noisy,Sulfate,RidgeClassifier,0.6,0.7903
water_potability.csv,Labels,Potability,KNeighborsClassifier,0.4,0.7906
water_potability.csv,Outlier,Hardness,LogisticRegression,0.8,0.7912
water_potability.csv,Outlier,Hardness,KNeighborsClassifier,0.6,0.7914
water_potability.csv,Noisy,Turbidity,GaussianNB,0.6,0.7916
water_potability.csv,Noisy,Organic_carbon,AdaBoostClassifier,0.8,0.7921
water_potability.csv,Noisy,Trihalomethanes,ExtraTreesClassifier,0.4,0.7927
water_potability.csv,Noisy,Chloramines,GaussianNB,0.6,0.7932
water_potability.csv,Outlier,Sulfate,GaussianNB,0.8,0.7938
water_potability.csv,Noisy,Chloramines,CatBoostClassifier,0.6,0.7944
water_potability.csv,Noisy,Sulfate,LinearDiscriminantAnalysis,0.6,0.7944
water_potability.csv,Noisy,Solids,LinearDiscriminantAnalysis,0.8,0.7948
water_potability.csv,Outlier,Organic_carbon,QuadraticDiscriminantAnalysis,0.6,0.7954
water_potability.csv,Outlier,Sulfate,LinearDiscriminantAnalysis,0.6,0.7956
water_potability.csv,Outlier,Conductivity,QuadraticDiscriminantAnalysis,0.6,0.7958
water_potability.csv,Outlier,Sulfate,LogisticRegression,0.6,0.7958
water_potability.csv,Noisy,Trihalomethanes,RidgeClassifier,0.6,0.7961
water_potability.csv,Outlier,Organic_carbon,GaussianNB,0.8,0.7961
water_potability.csv,Outlier,Sulfate,QuadraticDiscriminantAnalysis,0.6,0.7961
water_potability.csv,Outlier,Trihalomethanes,LogisticRegression,0.6,0.7962
water_potability.csv,Noisy,Turbidity,AdaBoostClassifier,0.4,0.7966
water_potability.csv,Noisy,Chloramines,GradientBoostingClassifier,0.6,0.7979
water_potability.csv,Outlier,Chloramines,DecisionTreeClassifier,0.6,0.7986
water_potability.csv,Noisy,Conductivity,LinearDiscriminantAnalysis,0.6,0.7991
water_potability.csv,Labels,Potability,GaussianNB,0.6,0.7991
water_potability.csv,Noisy,Conductivity,QuadraticDiscriminantAnalysis,0.8,0.7992
water_potability.csv,Noisy,Sulfate,KNeighborsClassifier,0.8,0.7997
water_potability.csv,Noisy,Turbidity,RidgeClassifier,0.6,0.8003
water_potability.csv,Noisy,Sulfate,QuadraticDiscriminantAnalysis,0.6,0.8005
water_potability.csv,Noisy,Turbidity,LinearDiscriminantAnalysis,0.6,0.8006
water_potability.csv,Noisy,Turbidity,LogisticRegression,0.6,0.8008
water_potability.csv,Noisy,Sulfate,RandomForestClassifier,0.6,0.801
water_potability.csv,Outlier,Trihalomethanes,QuadraticDiscriminantAnalysis,0.6,0.8011
water_potability.csv,Noisy,Sulfate,CatBoostClassifier,0.6,0.8033
water_potability.csv,Labels,Potability,RidgeClassifier,0.6,0.8035
water_potability.csv,Noisy,Sulfate,LogisticRegression,0.6,0.8038
water_potability.csv,Labels,Potability,LinearDiscriminantAnalysis,0.6,0.8052
water_potability.csv,Noisy,Turbidity,CatBoostClassifier,0.4,0.8074
water_potability.csv,Outlier,Solids,GaussianNB,0.8,0.8077
water_potability.csv,Noisy,Solids,LinearDiscriminantAnalysis,0.6,0.8079
water_potability.csv,Noisy,Chloramines,ExtraTreesClassifier,0.4,0.8125
water_potability.csv,Noisy,Solids,AdaBoostClassifier,0.4,0.8126
water_potability.csv,Noisy,Sulfate,GradientBoostingClassifier,0.4,0.8146
water_potability.csv,Noisy,Chloramines,DecisionTreeClassifier,0.4,0.8149
water_potability.csv,Noisy,Organic_carbon,GradientBoostingClassifier,0.8,0.8174
water_potability.csv,Noisy,Solids,GaussianProcessClassifier,0.4,0.818
water_potability.csv,Labels,Potability,ExtraTreesClassifier,0.4,0.8193
water_potability.csv,Noisy,Solids,GradientBoostingClassifier,0.6,0.8199
water_potability.csv,Noisy,Solids,RidgeClassifier,0.6,0.8199
water_potability.csv,Noisy,Solids,ExtraTreesClassifier,0.6,0.8211
water_potability.csv,Noisy,Sulfate,GaussianNB,0.6,0.8213
water_potability.csv,Noisy,Hardness,DecisionTreeClassifier,0.6,0.8222
water_potability.csv,Outlier,Organic_carbon,RidgeClassifier,0.6,0.8223
water_potability.csv,Outlier,Organic_carbon,LinearDiscriminantAnalysis,0.6,0.823
water_potability.csv,Outlier,Organic_carbon,LogisticRegression,0.6,0.8233
water_potability.csv,Noisy,Conductivity,QuadraticDiscriminantAnalysis,0.6,0.8236
water_potability.csv,Noisy,Trihalomethanes,QuadraticDiscriminantAnalysis,0.6,0.8242
water_potability.csv,Outlier,ph,RandomForestClassifier,0.8,0.8243
water_potability.csv,Noisy,Conductivity,AdaBoostClassifier,0.8,0.8247
water_potability.csv,Noisy,Turbidity,GradientBoostingClassifier,0.4,0.8249
water_potability.csv,Outlier,Hardness,GaussianNB,0.8,0.825
water_potability.csv,Noisy,Solids,QuadraticDiscriminantAnalysis,0.6,0.8261
water_potability.csv,Noisy,Solids,LogisticRegression,0.8,0.8268
water_potability.csv,Outlier,Solids,QuadraticDiscriminantAnalysis,0.6,0.8285
water_potability.csv,Outlier,Chloramines,QuadraticDiscriminantAnalysis,0.6,0.8296
water_potability.csv,Noisy,Turbidity,GradientBoostingClassifier,0.8,0.8304
water_potability.csv,Noisy,Solids,GaussianNB,0.8,0.831
water_potability.csv,Outlier,Conductivity,GaussianNB,0.6,0.8313
water_potability.csv,Outlier,Chloramines,GaussianNB,0.6,0.8313
water_potability.csv,Noisy,Turbidity,QuadraticDiscriminantAnalysis,0.6,0.8321
water_potability.csv,Outlier,Hardness,RidgeClassifier,0.6,0.8329
water_potability.csv,Outlier,Hardness,LinearDiscriminantAnalysis,0.6,0.8332
water_potability.csv,Noisy,Chloramines,GradientBoostingClassifier,0.4,0.8344
water_potability.csv,Noisy,Trihalomethanes,RandomForestClassifier,0.4,0.8346
water_potability.csv,Outlier,Hardness,DecisionTreeClassifier,0.4,0.8351
water_potability.csv,Outlier,Hardness,QuadraticDiscriminantAnalysis,0.8,0.8362
water_potability.csv,Noisy,Conductivity,GaussianProcessClassifier,0.4,0.8368
water_potability.csv,Noisy,Solids,LogisticRegression,0.6,0.8375
water_potability.csv,Noisy,ph,DecisionTreeClassifier,0.8,0.8378
water_potability.csv,Noisy,Organic_carbon,QuadraticDiscriminantAnalysis,0.8,0.8386
water_potability.csv,Noisy,Sulfate,KNeighborsClassifier,0.6,0.8391
water_potability.csv,DuplicatedAll,Potability,MLPClassifier,0.4,0.8408
water_potability.csv,Noisy,Chloramines,CatBoostClassifier,0.4,0.841
water_potability.csv,Noisy,Chloramines,RandomForestClassifier,0.4,0.8412
water_potability.csv,Noisy,Sulfate,CatBoostClassifier,0.4,0.8415
water_potability.csv,Outlier,Hardness,LogisticRegression,0.6,0.8419
water_potability.csv,Outlier,Organic_carbon,MLPClassifier,0.4,0.8441
water_potability.csv,Noisy,Trihalomethanes,GaussianNB,0.6,0.8443
water_potability.csv,Noisy,Organic_carbon,AdaBoostClassifier,0.6,0.8443
water_potability.csv,Noisy,Conductivity,AdaBoostClassifier,0.6,0.8445
water_potability.csv,Noisy,Hardness,DecisionTreeClassifier,0.4,0.8456
water_potability.csv,Noisy,Organic_carbon,RandomForestClassifier,0.4,0.8474
