",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
84,ShippingData.csv,Missing,0.8,Cost_of_the_Product,GaussianProcessClassifier,0.4268,0.5,0.1195,0.6196,0.2004
85,ShippingData.csv,Missing,0.2,Discount_offered,GaussianNB,0.6632,0.694,0.4539,0.9693,0.6182
86,ShippingData.csv,Missing,0.2,Discount_offered,QuadraticDiscriminantAnalysis,0.6605,0.7058,0.4629,0.943,0.621
87,ShippingData.csv,Missing,0.2,Discount_offered,AdaBoostClassifier,0.6523,0.718,0.4985,0.866,0.6327
88,ShippingData.csv,Missing,0.2,Discount_offered,GradientBoostingClassifier,0.6591,0.7271,0.5174,0.8593,0.6459
89,ShippingData.csv,Missing,0.2,Discount_offered,ExtraTreesClassifier,0.6473,0.7277,0.5953,0.7656,0.6698
90,ShippingData.csv,Missing,0.2,Discount_offered,RandomForestClassifier,0.6491,0.7276,0.5688,0.7883,0.6608
91,ShippingData.csv,Missing,0.2,Discount_offered,CatBoostClassifier,0.6568,0.7273,0.584,0.7902,0.6716
92,ShippingData.csv,Missing,0.2,Discount_offered,LinearDiscriminantAnalysis,0.6409,0.7264,0.6513,0.7235,0.6855
93,ShippingData.csv,Missing,0.2,Discount_offered,LogisticRegression,0.6409,0.7181,0.6188,0.7409,0.6744
94,ShippingData.csv,Missing,0.2,Discount_offered,RidgeClassifier,0.6427,,0.6551,0.7241,0.6878
95,ShippingData.csv,Missing,0.2,Discount_offered,KNeighborsClassifier,0.6518,0.7235,0.6626,0.7324,0.6958
96,ShippingData.csv,Missing,0.2,Discount_offered,DecisionTreeClassifier,0.6286,0.5,0.6755,0.6971,0.6861
97,ShippingData.csv,Missing,0.2,Discount_offered,MLPClassifier,0.6505,0.5217,0.4206,0.9946,0.5912
98,ShippingData.csv,Missing,0.2,Discount_offered,SGDClassifier,0.6291,,0.3843,0.9961,0.5546
99,ShippingData.csv,Missing,0.2,Discount_offered,SVC,0.6009,0.4991,1.0,0.6009,0.7507
100,ShippingData.csv,Missing,0.2,Discount_offered,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
101,ShippingData.csv,Missing,0.2,Discount_offered,GaussianProcessClassifier,0.4509,0.5,0.177,0.661,0.2792
102,ShippingData.csv,Missing,0.4,Discount_offered,GaussianNB,0.6582,0.7058,0.4758,0.9142,0.6259
103,ShippingData.csv,Missing,0.4,Discount_offered,QuadraticDiscriminantAnalysis,0.6568,0.711,0.4909,0.8878,0.6322
104,ShippingData.csv,Missing,0.4,Discount_offered,AdaBoostClassifier,0.6532,0.718,0.4939,0.8742,0.6312
105,ShippingData.csv,Missing,0.4,Discount_offered,GradientBoostingClassifier,0.6568,0.7231,0.5212,0.8496,0.646
106,ShippingData.csv,Missing,0.4,Discount_offered,ExtraTreesClassifier,0.65,0.7268,0.6059,0.7629,0.6754
107,ShippingData.csv,Missing,0.4,Discount_offered,RandomForestClassifier,0.6541,0.7342,0.5847,0.7848,0.6701
108,ShippingData.csv,Missing,0.4,Discount_offered,CatBoostClassifier,0.6577,0.7238,0.5953,0.7831,0.6764
109,ShippingData.csv,Missing,0.4,Discount_offered,LinearDiscriminantAnalysis,0.6409,0.7269,0.6483,0.725,0.6845
110,ShippingData.csv,Missing,0.4,Discount_offered,RidgeClassifier,0.6395,,0.6498,0.7225,0.6842
111,ShippingData.csv,Missing,0.4,Discount_offered,LogisticRegression,0.6491,0.721,0.6135,0.7565,0.6775
112,ShippingData.csv,Missing,0.4,Discount_offered,KNeighborsClassifier,0.6518,0.7222,0.6626,0.7324,0.6958
113,ShippingData.csv,Missing,0.4,Discount_offered,DecisionTreeClassifier,0.6468,0.5,0.6967,0.7101,0.7033
114,ShippingData.csv,Missing,0.4,Discount_offered,MLPClassifier,0.615,0.7029,0.9523,0.6163,0.7483
115,ShippingData.csv,Missing,0.4,Discount_offered,SGDClassifier,0.63,,0.3888,0.9885,0.5581
116,ShippingData.csv,Missing,0.4,Discount_offered,SVC,0.6009,0.4996,1.0,0.6009,0.7507
117,ShippingData.csv,Missing,0.4,Discount_offered,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
118,ShippingData.csv,Missing,0.4,Discount_offered,GaussianProcessClassifier,0.4495,0.5,0.1747,0.6581,0.2762
119,ShippingData.csv,Missing,0.6,Discount_offered,QuadraticDiscriminantAnalysis,0.6527,0.7176,0.5976,0.773,0.6741
120,ShippingData.csv,Missing,0.6,Discount_offered,AdaBoostClassifier,0.6509,0.7159,0.5287,0.8282,0.6454
121,ShippingData.csv,Missing,0.6,Discount_offered,GaussianNB,0.6523,0.7134,0.5651,0.7972,0.6614
122,ShippingData.csv,Missing,0.6,Discount_offered,GradientBoostingClassifier,0.6627,0.7232,0.5492,0.8326,0.6618
123,ShippingData.csv,Missing,0.6,Discount_offered,RandomForestClassifier,0.6495,0.7226,0.6127,0.7577,0.6775
124,ShippingData.csv,Missing,0.6,Discount_offered,CatBoostClassifier,0.6614,0.7245,0.6225,0.7699,0.6884
125,ShippingData.csv,Missing,0.6,Discount_offered,ExtraTreesClassifier,0.6373,0.7231,0.6142,0.7382,0.6705
126,ShippingData.csv,Missing,0.6,Discount_offered,RidgeClassifier,0.6391,,0.6528,0.7204,0.6849
127,ShippingData.csv,Missing,0.6,Discount_offered,LinearDiscriminantAnalysis,0.6405,0.7275,0.652,0.7225,0.6855
128,ShippingData.csv,Missing,0.6,Discount_offered,LogisticRegression,0.6459,0.723,0.6248,0.7448,0.6796
129,ShippingData.csv,Missing,0.6,Discount_offered,MLPClassifier,0.62,0.7282,0.8442,0.6392,0.7275
130,ShippingData.csv,Missing,0.6,Discount_offered,KNeighborsClassifier,0.6518,0.7228,0.6619,0.7328,0.6955
131,ShippingData.csv,Missing,0.6,Discount_offered,DecisionTreeClassifier,0.6373,0.5,0.6831,0.7044,0.6935
132,ShippingData.csv,Missing,0.6,Discount_offered,SGDClassifier,0.6018,,0.3389,0.9956,0.5056
133,ShippingData.csv,Missing,0.6,Discount_offered,SVC,0.6009,0.4989,1.0,0.6009,0.7507
134,ShippingData.csv,Missing,0.6,Discount_offered,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
135,ShippingData.csv,Missing,0.6,Discount_offered,GaussianProcessClassifier,0.4459,0.5,0.1679,0.651,0.267
136,ShippingData.csv,Missing,0.8,Discount_offered,QuadraticDiscriminantAnalysis,0.6318,0.7152,0.7761,0.6662,0.717
137,ShippingData.csv,Missing,0.8,Discount_offered,AdaBoostClassifier,0.6577,0.7202,0.5408,0.8304,0.6551
138,ShippingData.csv,Missing,0.8,Discount_offered,GaussianNB,0.6241,0.7076,0.7617,0.6629,0.7089
139,ShippingData.csv,Missing,0.8,Discount_offered,GradientBoostingClassifier,0.6545,0.7218,0.5227,0.8427,0.6452
140,ShippingData.csv,Missing,0.8,Discount_offered,CatBoostClassifier,0.645,0.7196,0.6142,0.7498,0.6753
141,ShippingData.csv,Missing,0.8,Discount_offered,RandomForestClassifier,0.6482,0.7149,0.5983,0.765,0.6715
142,ShippingData.csv,Missing,0.8,Discount_offered,ExtraTreesClassifier,0.6482,0.7144,0.6248,0.7482,0.681
143,ShippingData.csv,Missing,0.8,Discount_offered,LinearDiscriminantAnalysis,0.6418,0.7273,0.6498,0.7255,0.6856
144,ShippingData.csv,Missing,0.8,Discount_offered,LogisticRegression,0.6468,0.7208,0.6006,0.7613,0.6715
145,ShippingData.csv,Missing,0.8,Discount_offered,DecisionTreeClassifier,0.6486,0.5,0.68,0.7198,0.6993
146,ShippingData.csv,Missing,0.8,Discount_offered,RidgeClassifier,0.6405,,0.6513,0.7229,0.6852
147,ShippingData.csv,Missing,0.8,Discount_offered,KNeighborsClassifier,0.6514,0.7222,0.6604,0.733,0.6948
148,ShippingData.csv,Missing,0.8,Discount_offered,MLPClassifier,0.6632,0.6215,0.4622,0.9532,0.6225
149,ShippingData.csv,Missing,0.8,Discount_offered,SGDClassifier,0.6273,,0.3835,0.9902,0.5529
150,ShippingData.csv,Missing,0.8,Discount_offered,SVC,0.6009,0.4992,1.0,0.6009,0.7507
151,ShippingData.csv,Missing,0.8,Discount_offered,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
152,ShippingData.csv,Missing,0.8,Discount_offered,GaussianProcessClassifier,0.4477,0.5,0.1694,0.6569,0.2694
153,ShippingData.csv,Missing,0.2,Weight_in_gms,GaussianNB,0.6655,0.6911,0.4539,0.9772,0.6198
154,ShippingData.csv,Missing,0.2,Weight_in_gms,QuadraticDiscriminantAnalysis,0.6655,0.698,0.4554,0.9741,0.6206
155,ShippingData.csv,Missing,0.2,Weight_in_gms,AdaBoostClassifier,0.6541,0.7145,0.5008,0.8676,0.635
156,ShippingData.csv,Missing,0.2,Weight_in_gms,GradientBoostingClassifier,0.6577,0.7267,0.5015,0.8758,0.6378
157,ShippingData.csv,Missing,0.2,Weight_in_gms,RandomForestClassifier,0.66,0.7333,0.5703,0.8073,0.6684
158,ShippingData.csv,Missing,0.2,Weight_in_gms,ExtraTreesClassifier,0.65,0.7284,0.5885,0.7749,0.669
159,ShippingData.csv,Missing,0.2,Weight_in_gms,CatBoostClassifier,0.6555,0.7313,0.5855,0.7866,0.6713
160,ShippingData.csv,Missing,0.2,Weight_in_gms,LinearDiscriminantAnalysis,0.6482,0.7239,0.6513,0.7334,0.6899
161,ShippingData.csv,Missing,0.2,Weight_in_gms,RidgeClassifier,0.6486,,0.6551,0.732,0.6914
162,ShippingData.csv,Missing,0.2,Weight_in_gms,LogisticRegression,0.6509,0.7132,0.643,0.7417,0.6888
163,ShippingData.csv,Missing,0.2,Weight_in_gms,KNeighborsClassifier,0.6427,0.7163,0.646,0.7287,0.6848
164,ShippingData.csv,Missing,0.2,Weight_in_gms,DecisionTreeClassifier,0.6345,0.5,0.6808,0.702,0.6912
165,ShippingData.csv,Missing,0.2,Weight_in_gms,MLPClassifier,0.6,0.5547,0.9818,0.6026,0.7468
166,ShippingData.csv,Missing,0.2,Weight_in_gms,SGDClassifier,0.6532,,0.6626,0.7343,0.6966
167,ShippingData.csv,Missing,0.2,Weight_in_gms,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
168,ShippingData.csv,Missing,0.2,Weight_in_gms,SVC,0.6009,0.4989,1.0,0.6009,0.7507
169,ShippingData.csv,Missing,0.2,Weight_in_gms,GaussianProcessClassifier,0.4455,0.5,0.1573,0.6624,0.2543
170,ShippingData.csv,Missing,0.4,Weight_in_gms,GaussianNB,0.665,0.6902,0.4531,0.9772,0.6191
171,ShippingData.csv,Missing,0.4,Weight_in_gms,AdaBoostClassifier,0.6555,0.7144,0.4932,0.8811,0.6324
172,ShippingData.csv,Missing,0.4,Weight_in_gms,QuadraticDiscriminantAnalysis,0.6627,0.6926,0.4501,0.9754,0.6159
173,ShippingData.csv,Missing,0.4,Weight_in_gms,GradientBoostingClassifier,0.6577,0.7243,0.5023,0.8748,0.6382
174,ShippingData.csv,Missing,0.4,Weight_in_gms,RandomForestClassifier,0.6541,0.7165,0.5787,0.7895,0.6678
175,ShippingData.csv,Missing,0.4,Weight_in_gms,ExtraTreesClassifier,0.6541,0.7227,0.5946,0.7774,0.6738
176,ShippingData.csv,Missing,0.4,Weight_in_gms,CatBoostClassifier,0.6564,0.7223,0.59,0.7847,0.6736
177,ShippingData.csv,Missing,0.4,Weight_in_gms,RidgeClassifier,0.6486,,0.6528,0.7332,0.6907
178,ShippingData.csv,Missing,0.4,Weight_in_gms,LinearDiscriminantAnalysis,0.6491,0.7228,0.649,0.7358,0.6897
179,ShippingData.csv,Missing,0.4,Weight_in_gms,LogisticRegression,0.6682,0.711,0.6505,0.7624,0.702
180,ShippingData.csv,Missing,0.4,Weight_in_gms,DecisionTreeClassifier,0.6268,0.5,0.6891,0.6896,0.6894
181,ShippingData.csv,Missing,0.4,Weight_in_gms,KNeighborsClassifier,0.6409,0.7099,0.6467,0.7258,0.684
182,ShippingData.csv,Missing,0.4,Weight_in_gms,SGDClassifier,0.6291,,0.7988,0.6575,0.7213
183,ShippingData.csv,Missing,0.4,Weight_in_gms,MLPClassifier,0.6564,0.5364,0.4334,0.9879,0.6025
184,ShippingData.csv,Missing,0.4,Weight_in_gms,SVC,0.6009,0.4996,1.0,0.6009,0.7507
185,ShippingData.csv,Missing,0.4,Weight_in_gms,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
186,ShippingData.csv,Missing,0.4,Weight_in_gms,GaussianProcessClassifier,0.4355,0.5,0.1263,0.6575,0.2119
187,ShippingData.csv,Missing,0.6,Weight_in_gms,GaussianNB,0.665,0.6894,0.4523,0.9787,0.6187
188,ShippingData.csv,Missing,0.6,Weight_in_gms,GradientBoostingClassifier,0.6541,0.7281,0.5151,0.8502,0.6415
189,ShippingData.csv,Missing,0.6,Weight_in_gms,AdaBoostClassifier,0.6523,0.7139,0.4947,0.8708,0.631
190,ShippingData.csv,Missing,0.6,Weight_in_gms,QuadraticDiscriminantAnalysis,0.6623,0.688,0.447,0.9801,0.614
191,ShippingData.csv,Missing,0.6,Weight_in_gms,RandomForestClassifier,0.6564,0.7275,0.6051,0.7737,0.6791
192,ShippingData.csv,Missing,0.6,Weight_in_gms,CatBoostClassifier,0.6468,0.7232,0.6089,0.7559,0.6745
193,ShippingData.csv,Missing,0.6,Weight_in_gms,ExtraTreesClassifier,0.6491,0.7188,0.6029,0.7634,0.6737
194,ShippingData.csv,Missing,0.6,Weight_in_gms,MLPClassifier,0.595,0.6915,0.91,0.6091,0.7298
195,ShippingData.csv,Missing,0.6,Weight_in_gms,RidgeClassifier,0.6477,,0.6558,0.7304,0.6911
196,ShippingData.csv,Missing,0.6,Weight_in_gms,LinearDiscriminantAnalysis,0.6505,0.7222,0.6551,0.7345,0.6925
197,ShippingData.csv,Missing,0.6,Weight_in_gms,LogisticRegression,0.6618,0.7066,0.646,0.7558,0.6966
198,ShippingData.csv,Missing,0.6,Weight_in_gms,DecisionTreeClassifier,0.6455,0.5,0.7027,0.7059,0.7043
199,ShippingData.csv,Missing,0.6,Weight_in_gms,KNeighborsClassifier,0.6391,0.7071,0.652,0.7207,0.6847
200,ShippingData.csv,Missing,0.6,Weight_in_gms,SGDClassifier,0.6009,,1.0,0.6009,0.7507
201,ShippingData.csv,Missing,0.6,Weight_in_gms,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
202,ShippingData.csv,Missing,0.6,Weight_in_gms,SVC,0.6009,0.5011,1.0,0.6009,0.7507
203,ShippingData.csv,Missing,0.6,Weight_in_gms,GaussianProcessClassifier,0.4245,0.5,0.0893,0.6556,0.1571
204,ShippingData.csv,Missing,0.8,Weight_in_gms,AdaBoostClassifier,0.6605,0.7127,0.5023,0.8818,0.64
205,ShippingData.csv,Missing,0.8,Weight_in_gms,GradientBoostingClassifier,0.6568,0.7194,0.4902,0.8889,0.6319
206,ShippingData.csv,Missing,0.8,Weight_in_gms,GaussianNB,0.6645,0.6861,0.4501,0.9818,0.6172
207,ShippingData.csv,Missing,0.8,Weight_in_gms,QuadraticDiscriminantAnalysis,0.6627,0.6808,0.4448,0.9866,0.6131
208,ShippingData.csv,Missing,0.8,Weight_in_gms,CatBoostClassifier,0.6609,0.7124,0.6172,0.7727,0.6863
209,ShippingData.csv,Missing,0.8,Weight_in_gms,RandomForestClassifier,0.6582,0.7075,0.5991,0.7811,0.6781
210,ShippingData.csv,Missing,0.8,Weight_in_gms,MLPClassifier,0.6314,0.6336,0.5492,0.7715,0.6416
211,ShippingData.csv,Missing,0.8,Weight_in_gms,ExtraTreesClassifier,0.6518,0.7135,0.6074,0.7648,0.6771
212,ShippingData.csv,Missing,0.8,Weight_in_gms,LinearDiscriminantAnalysis,0.6514,0.7204,0.6528,0.737,0.6923
213,ShippingData.csv,Missing,0.8,Weight_in_gms,RidgeClassifier,0.6518,,0.6543,0.7368,0.6931
214,ShippingData.csv,Missing,0.8,Weight_in_gms,LogisticRegression,0.6573,0.7096,0.6384,0.7536,0.6912
215,ShippingData.csv,Missing,0.8,Weight_in_gms,DecisionTreeClassifier,0.6455,0.5,0.7247,0.6972,0.7107
