",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
134,recruitment_data.csv,Outlier,0.8,Age,KNeighborsClassifier,0.7167,0.3625,0.3333,0.5741,0.4218
135,recruitment_data.csv,Outlier,0.8,Age,GaussianProcessClassifier,0.6433,0.5,0.4086,0.4222,0.4153
136,recruitment_data.csv,Outlier,0.2,EducationLevel,CatBoostClassifier,0.9367,0.3751,0.828,0.9625,0.8902
137,recruitment_data.csv,Outlier,0.2,EducationLevel,GradientBoostingClassifier,0.9267,0.3612,0.8065,0.9494,0.8721
138,recruitment_data.csv,Outlier,0.2,EducationLevel,AdaBoostClassifier,0.9,0.3067,0.7742,0.8889,0.8276
139,recruitment_data.csv,Outlier,0.2,EducationLevel,RandomForestClassifier,0.88,0.2707,0.6989,0.8904,0.7831
140,recruitment_data.csv,Outlier,0.2,EducationLevel,ExtraTreesClassifier,0.87,0.3115,0.6882,0.8649,0.7665
141,recruitment_data.csv,Outlier,0.2,EducationLevel,LogisticRegression,0.86,0.3527,0.7204,0.8072,0.7614
142,recruitment_data.csv,Outlier,0.2,EducationLevel,RidgeClassifier,0.86,,0.6989,0.8228,0.7558
143,recruitment_data.csv,Outlier,0.2,EducationLevel,GaussianNB,0.8667,0.2914,0.6667,0.8732,0.7561
144,recruitment_data.csv,Outlier,0.2,EducationLevel,LinearDiscriminantAnalysis,0.8533,0.3602,0.7097,0.7952,0.75
145,recruitment_data.csv,Outlier,0.2,EducationLevel,QuadraticDiscriminantAnalysis,0.8333,0.3684,0.6989,0.7471,0.7222
146,recruitment_data.csv,Outlier,0.2,EducationLevel,DecisionTreeClassifier,0.8667,0.5,0.8065,0.7732,0.7895
147,recruitment_data.csv,Outlier,0.2,EducationLevel,MLPClassifier,0.83,0.4011,0.6989,0.7386,0.7182
148,recruitment_data.csv,Outlier,0.2,EducationLevel,SGDClassifier,0.8267,,0.6989,0.7303,0.7143
149,recruitment_data.csv,Outlier,0.2,EducationLevel,SVC,0.69,0.5148,0.0,0.0,0.0
150,recruitment_data.csv,Outlier,0.2,EducationLevel,DummyClassifier,0.69,0.5,0.0,0.0,0.0
151,recruitment_data.csv,Outlier,0.2,EducationLevel,KNeighborsClassifier,0.7167,0.3572,0.3333,0.5741,0.4218
152,recruitment_data.csv,Outlier,0.2,EducationLevel,GaussianProcessClassifier,0.6433,0.5,0.4086,0.4222,0.4153
153,recruitment_data.csv,Outlier,0.4,EducationLevel,CatBoostClassifier,0.9067,0.3633,0.7742,0.9114,0.8372
154,recruitment_data.csv,Outlier,0.4,EducationLevel,GradientBoostingClassifier,0.8967,0.3597,0.7527,0.8974,0.8187
155,recruitment_data.csv,Outlier,0.4,EducationLevel,RandomForestClassifier,0.8667,0.2847,0.6882,0.8533,0.7619
156,recruitment_data.csv,Outlier,0.4,EducationLevel,ExtraTreesClassifier,0.8767,0.2866,0.6882,0.8889,0.7758
157,recruitment_data.csv,Outlier,0.4,EducationLevel,AdaBoostClassifier,0.9,0.3304,0.7634,0.8987,0.8256
158,recruitment_data.csv,Outlier,0.4,EducationLevel,LogisticRegression,0.85,0.3519,0.6989,0.7927,0.7429
159,recruitment_data.csv,Outlier,0.4,EducationLevel,RidgeClassifier,0.8533,,0.6882,0.8101,0.7442
160,recruitment_data.csv,Outlier,0.4,EducationLevel,LinearDiscriminantAnalysis,0.85,0.3595,0.6989,0.7927,0.7429
161,recruitment_data.csv,Outlier,0.4,EducationLevel,GaussianNB,0.8667,0.2867,0.6774,0.863,0.759
162,recruitment_data.csv,Outlier,0.4,EducationLevel,QuadraticDiscriminantAnalysis,0.83,0.3642,0.6882,0.7442,0.7151
163,recruitment_data.csv,Outlier,0.4,EducationLevel,DecisionTreeClassifier,0.8567,0.5,0.7527,0.7778,0.765
164,recruitment_data.csv,Outlier,0.4,EducationLevel,MLPClassifier,0.81,0.4554,0.7312,0.68,0.7047
165,recruitment_data.csv,Outlier,0.4,EducationLevel,SVC,0.69,0.5148,0.0,0.0,0.0
166,recruitment_data.csv,Outlier,0.4,EducationLevel,DummyClassifier,0.69,0.5,0.0,0.0,0.0
167,recruitment_data.csv,Outlier,0.4,EducationLevel,KNeighborsClassifier,0.7167,0.3572,0.3333,0.5741,0.4218
168,recruitment_data.csv,Outlier,0.4,EducationLevel,SGDClassifier,0.7967,,0.6022,0.7,0.6474
169,recruitment_data.csv,Outlier,0.4,EducationLevel,GaussianProcessClassifier,0.6433,0.5,0.4086,0.4222,0.4153
170,recruitment_data.csv,Outlier,0.6,EducationLevel,GradientBoostingClassifier,0.8967,0.3535,0.7312,0.9189,0.8144
171,recruitment_data.csv,Outlier,0.6,EducationLevel,CatBoostClassifier,0.8933,0.3439,0.7312,0.9067,0.8095
172,recruitment_data.csv,Outlier,0.6,EducationLevel,RandomForestClassifier,0.8567,0.2673,0.6667,0.8378,0.7425
173,recruitment_data.csv,Outlier,0.6,EducationLevel,AdaBoostClassifier,0.9,0.2693,0.7527,0.9091,0.8235
174,recruitment_data.csv,Outlier,0.6,EducationLevel,ExtraTreesClassifier,0.8567,0.3008,0.6667,0.8378,0.7425
175,recruitment_data.csv,Outlier,0.6,EducationLevel,RidgeClassifier,0.8533,,0.6882,0.8101,0.7442
176,recruitment_data.csv,Outlier,0.6,EducationLevel,LogisticRegression,0.85,0.3516,0.6989,0.7927,0.7429
177,recruitment_data.csv,Outlier,0.6,EducationLevel,GaussianNB,0.8667,0.2751,0.6774,0.863,0.759
178,recruitment_data.csv,Outlier,0.6,EducationLevel,LinearDiscriminantAnalysis,0.85,0.3603,0.6989,0.7927,0.7429
179,recruitment_data.csv,Outlier,0.6,EducationLevel,QuadraticDiscriminantAnalysis,0.8333,0.354,0.6774,0.759,0.7159
180,recruitment_data.csv,Outlier,0.6,EducationLevel,DecisionTreeClassifier,0.8833,0.5,0.7634,0.8452,0.8023
181,recruitment_data.csv,Outlier,0.6,EducationLevel,MLPClassifier,0.8033,0.4524,0.7419,0.6635,0.7005
182,recruitment_data.csv,Outlier,0.6,EducationLevel,SVC,0.69,0.5148,0.0,0.0,0.0
183,recruitment_data.csv,Outlier,0.6,EducationLevel,DummyClassifier,0.69,0.5,0.0,0.0,0.0
184,recruitment_data.csv,Outlier,0.6,EducationLevel,KNeighborsClassifier,0.7167,0.3594,0.3333,0.5741,0.4218
185,recruitment_data.csv,Outlier,0.6,EducationLevel,GaussianProcessClassifier,0.6433,0.5,0.4086,0.4222,0.4153
186,recruitment_data.csv,Outlier,0.6,EducationLevel,SGDClassifier,0.7933,,0.4516,0.7925,0.5753
187,recruitment_data.csv,Outlier,0.8,EducationLevel,RandomForestClassifier,0.8567,0.3073,0.6559,0.8472,0.7394
188,recruitment_data.csv,Outlier,0.8,EducationLevel,CatBoostClassifier,0.8867,0.3782,0.7204,0.8933,0.7976
189,recruitment_data.csv,Outlier,0.8,EducationLevel,GradientBoostingClassifier,0.8767,0.3806,0.7097,0.8684,0.7811
190,recruitment_data.csv,Outlier,0.8,EducationLevel,ExtraTreesClassifier,0.8533,0.3023,0.6452,0.8451,0.7317
191,recruitment_data.csv,Outlier,0.8,EducationLevel,AdaBoostClassifier,0.8967,0.3182,0.7634,0.8875,0.8208
192,recruitment_data.csv,Outlier,0.8,EducationLevel,LogisticRegression,0.85,0.3509,0.6989,0.7927,0.7429
