",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
118,water_potability.csv,Missing,0.4,Hardness,SGDClassifier,0.6265,,0.0,0.0,0.0
119,water_potability.csv,Missing,0.6,Hardness,LogisticRegression,0.8628,0.4123,0.8041,0.8243,0.814
120,water_potability.csv,Missing,0.6,Hardness,QuadraticDiscriminantAnalysis,0.8552,0.4293,0.8082,0.8049,0.8065
121,water_potability.csv,Missing,0.6,Hardness,RidgeClassifier,0.8643,,0.8122,0.8223,0.8172
122,water_potability.csv,Missing,0.6,Hardness,LinearDiscriminantAnalysis,0.8659,0.4212,0.8163,0.823,0.8197
123,water_potability.csv,Missing,0.6,Hardness,GaussianNB,0.8613,0.4257,0.8163,0.813,0.8147
124,water_potability.csv,Missing,0.6,Hardness,RandomForestClassifier,0.8567,0.4254,0.7878,0.8213,0.8042
125,water_potability.csv,Missing,0.6,Hardness,CatBoostClassifier,0.8491,0.4376,0.8041,0.7944,0.7992
126,water_potability.csv,Missing,0.6,Hardness,ExtraTreesClassifier,0.8491,0.4153,0.7714,0.8147,0.7925
127,water_potability.csv,Missing,0.6,Hardness,GradientBoostingClassifier,0.8491,0.4095,0.7796,0.8093,0.7942
128,water_potability.csv,Missing,0.6,Hardness,AdaBoostClassifier,0.8445,0.4519,0.8082,0.7826,0.7952
129,water_potability.csv,Missing,0.6,Hardness,DecisionTreeClassifier,0.782,0.5,0.751,0.6917,0.7202
130,water_potability.csv,Missing,0.6,Hardness,KNeighborsClassifier,0.6113,0.4276,0.4531,0.4784,0.4654
131,water_potability.csv,Missing,0.6,Hardness,SVC,0.6265,0.4802,0.0,0.0,0.0
132,water_potability.csv,Missing,0.6,Hardness,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
133,water_potability.csv,Missing,0.6,Hardness,MLPClassifier,0.628,0.4502,0.0286,0.5385,0.0543
134,water_potability.csv,Missing,0.6,Hardness,GaussianProcessClassifier,0.6082,0.4976,0.5061,0.4769,0.4911
135,water_potability.csv,Missing,0.6,Hardness,SGDClassifier,0.4238,,0.8041,0.3738,0.5104
136,water_potability.csv,Missing,0.8,Hardness,LinearDiscriminantAnalysis,0.8613,0.4295,0.8245,0.808,0.8162
137,water_potability.csv,Missing,0.8,Hardness,LogisticRegression,0.8613,0.4245,0.8163,0.813,0.8147
138,water_potability.csv,Missing,0.8,Hardness,RidgeClassifier,0.8643,,0.8204,0.8171,0.8187
139,water_potability.csv,Missing,0.8,Hardness,GaussianNB,0.8476,0.5101,0.849,0.7675,0.8062
140,water_potability.csv,Missing,0.8,Hardness,CatBoostClassifier,0.8567,0.4192,0.7918,0.8186,0.805
141,water_potability.csv,Missing,0.8,Hardness,GradientBoostingClassifier,0.8521,0.3987,0.7796,0.8162,0.7975
142,water_potability.csv,Missing,0.8,Hardness,ExtraTreesClassifier,0.8567,0.4047,0.7796,0.8268,0.8025
143,water_potability.csv,Missing,0.8,Hardness,QuadraticDiscriminantAnalysis,0.8399,0.4925,0.8367,0.7593,0.7961
144,water_potability.csv,Missing,0.8,Hardness,AdaBoostClassifier,0.8415,0.4614,0.7837,0.7901,0.7869
145,water_potability.csv,Missing,0.8,Hardness,RandomForestClassifier,0.8476,0.4193,0.7755,0.8085,0.7917
146,water_potability.csv,Missing,0.8,Hardness,DecisionTreeClassifier,0.7744,0.5,0.7265,0.6873,0.7063
147,water_potability.csv,Missing,0.8,Hardness,KNeighborsClassifier,0.5991,0.4309,0.4245,0.4602,0.4416
148,water_potability.csv,Missing,0.8,Hardness,MLPClassifier,0.5884,0.4897,0.2531,0.4161,0.3147
149,water_potability.csv,Missing,0.8,Hardness,SVC,0.6265,0.483,0.0,0.0,0.0
150,water_potability.csv,Missing,0.8,Hardness,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
151,water_potability.csv,Missing,0.8,Hardness,GaussianProcessClassifier,0.5899,0.4951,0.4939,0.4549,0.4736
152,water_potability.csv,Missing,0.8,Hardness,SGDClassifier,0.564,,0.3714,0.4081,0.3889
153,water_potability.csv,Missing,0.2,Solids,QuadraticDiscriminantAnalysis,0.8537,0.3975,0.8082,0.8016,0.8049
154,water_potability.csv,Missing,0.2,Solids,GaussianNB,0.8643,0.4021,0.8163,0.8197,0.818
155,water_potability.csv,Missing,0.2,Solids,LogisticRegression,0.8552,0.411,0.8,0.8099,0.8049
156,water_potability.csv,Missing,0.2,Solids,RidgeClassifier,0.8628,,0.8122,0.8189,0.8156
157,water_potability.csv,Missing,0.2,Solids,LinearDiscriminantAnalysis,0.8628,0.4206,0.8122,0.8189,0.8156
158,water_potability.csv,Missing,0.2,Solids,GradientBoostingClassifier,0.8506,0.4107,0.8163,0.7905,0.8032
159,water_potability.csv,Missing,0.2,Solids,CatBoostClassifier,0.8506,0.4262,0.8082,0.7952,0.8016
160,water_potability.csv,Missing,0.2,Solids,RandomForestClassifier,0.8537,0.3995,0.8122,0.7992,0.8057
161,water_potability.csv,Missing,0.2,Solids,ExtraTreesClassifier,0.8582,0.403,0.8,0.8167,0.8082
162,water_potability.csv,Missing,0.2,Solids,AdaBoostClassifier,0.8521,0.458,0.8204,0.7913,0.8056
163,water_potability.csv,Missing,0.2,Solids,DecisionTreeClassifier,0.7912,0.5,0.7388,0.7126,0.7255
164,water_potability.csv,Missing,0.2,Solids,KNeighborsClassifier,0.6479,0.4598,0.5102,0.5297,0.5198
165,water_potability.csv,Missing,0.2,Solids,GaussianProcessClassifier,0.6204,0.5,0.5306,0.4924,0.5108
166,water_potability.csv,Missing,0.2,Solids,SVC,0.6265,0.4773,0.0,0.0,0.0
167,water_potability.csv,Missing,0.2,Solids,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
168,water_potability.csv,Missing,0.2,Solids,MLPClassifier,0.5915,0.4397,0.3224,0.4365,0.3709
169,water_potability.csv,Missing,0.2,Solids,SGDClassifier,0.6265,,0.0,0.0,0.0
170,water_potability.csv,Missing,0.4,Solids,GaussianNB,0.8643,0.4044,0.8204,0.8171,0.8187
171,water_potability.csv,Missing,0.4,Solids,QuadraticDiscriminantAnalysis,0.8521,0.4039,0.8,0.8033,0.8016
172,water_potability.csv,Missing,0.4,Solids,LogisticRegression,0.8552,0.4157,0.8,0.8099,0.8049
173,water_potability.csv,Missing,0.4,Solids,RidgeClassifier,0.8643,,0.8122,0.8223,0.8172
174,water_potability.csv,Missing,0.4,Solids,LinearDiscriminantAnalysis,0.8628,0.4222,0.8122,0.8189,0.8156
175,water_potability.csv,Missing,0.4,Solids,CatBoostClassifier,0.8537,0.4249,0.8082,0.8016,0.8049
176,water_potability.csv,Missing,0.4,Solids,ExtraTreesClassifier,0.8567,0.3905,0.8,0.8133,0.8066
177,water_potability.csv,Missing,0.4,Solids,GradientBoostingClassifier,0.8537,0.4037,0.8245,0.7922,0.808
178,water_potability.csv,Missing,0.4,Solids,RandomForestClassifier,0.8613,0.4081,0.8041,0.8208,0.8124
179,water_potability.csv,Missing,0.4,Solids,AdaBoostClassifier,0.8491,0.4477,0.8122,0.7897,0.8008
180,water_potability.csv,Missing,0.4,Solids,DecisionTreeClassifier,0.8034,0.5,0.7592,0.7266,0.7425
181,water_potability.csv,Missing,0.4,Solids,KNeighborsClassifier,0.6402,0.4403,0.5224,0.5182,0.5203
182,water_potability.csv,Missing,0.4,Solids,GaussianProcessClassifier,0.622,0.5,0.5224,0.4942,0.5079
183,water_potability.csv,Missing,0.4,Solids,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
184,water_potability.csv,Missing,0.4,Solids,SVC,0.6265,0.5143,0.0,0.0,0.0
185,water_potability.csv,Missing,0.4,Solids,MLPClassifier,0.4268,0.5274,0.7878,0.3733,0.5066
186,water_potability.csv,Missing,0.4,Solids,SGDClassifier,0.6265,,0.0,0.0,0.0
187,water_potability.csv,Missing,0.6,Solids,GaussianNB,0.8643,0.402,0.8163,0.8197,0.818
188,water_potability.csv,Missing,0.6,Solids,RidgeClassifier,0.8598,,0.8041,0.8174,0.8107
189,water_potability.csv,Missing,0.6,Solids,QuadraticDiscriminantAnalysis,0.8582,0.4013,0.8082,0.8115,0.8098
190,water_potability.csv,Missing,0.6,Solids,LinearDiscriminantAnalysis,0.8613,0.4189,0.8082,0.8182,0.8131
191,water_potability.csv,Missing,0.6,Solids,LogisticRegression,0.8613,0.4103,0.8041,0.8208,0.8124
192,water_potability.csv,Missing,0.6,Solids,CatBoostClassifier,0.8537,0.432,0.8122,0.7992,0.8057
193,water_potability.csv,Missing,0.6,Solids,RandomForestClassifier,0.8537,0.3932,0.8082,0.8016,0.8049
194,water_potability.csv,Missing,0.6,Solids,GradientBoostingClassifier,0.8476,0.397,0.8041,0.7912,0.7976
195,water_potability.csv,Missing,0.6,Solids,AdaBoostClassifier,0.8567,0.4486,0.8286,0.7961,0.812
196,water_potability.csv,Missing,0.6,Solids,ExtraTreesClassifier,0.8506,0.3995,0.7878,0.8075,0.7975
197,water_potability.csv,Missing,0.6,Solids,DecisionTreeClassifier,0.8125,0.5,0.7755,0.7364,0.7555
198,water_potability.csv,Missing,0.6,Solids,KNeighborsClassifier,0.6311,0.4717,0.4816,0.5064,0.4937
199,water_potability.csv,Missing,0.6,Solids,GaussianProcessClassifier,0.6098,0.502,0.5184,0.4792,0.498
200,water_potability.csv,Missing,0.6,Solids,SVC,0.6265,0.4868,0.0,0.0,0.0
201,water_potability.csv,Missing,0.6,Solids,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
202,water_potability.csv,Missing,0.6,Solids,MLPClassifier,0.4848,0.5303,0.6041,0.3805,0.4669
203,water_potability.csv,Missing,0.6,Solids,SGDClassifier,0.6265,,0.0,0.0,0.0
204,water_potability.csv,Missing,0.8,Solids,GaussianNB,0.8628,0.3972,0.8122,0.8189,0.8156
205,water_potability.csv,Missing,0.8,Solids,RidgeClassifier,0.8643,,0.8082,0.825,0.8165
206,water_potability.csv,Missing,0.8,Solids,LinearDiscriminantAnalysis,0.8659,0.418,0.8122,0.8257,0.8189
207,water_potability.csv,Missing,0.8,Solids,LogisticRegression,0.8674,0.412,0.8082,0.8319,0.8199
208,water_potability.csv,Missing,0.8,Solids,QuadraticDiscriminantAnalysis,0.8582,0.4015,0.8041,0.814,0.809
209,water_potability.csv,Missing,0.8,Solids,AdaBoostClassifier,0.8521,0.4242,0.8082,0.7984,0.8032
210,water_potability.csv,Missing,0.8,Solids,CatBoostClassifier,0.8491,0.4195,0.8,0.7967,0.7984
211,water_potability.csv,Missing,0.8,Solids,GradientBoostingClassifier,0.8506,0.3923,0.7959,0.8025,0.7992
212,water_potability.csv,Missing,0.8,Solids,RandomForestClassifier,0.8567,0.3901,0.8041,0.8107,0.8074
213,water_potability.csv,Missing,0.8,Solids,ExtraTreesClassifier,0.8552,0.383,0.7837,0.8205,0.8017
214,water_potability.csv,Missing,0.8,Solids,DecisionTreeClassifier,0.7851,0.5,0.7347,0.7031,0.7186
215,water_potability.csv,Missing,0.8,Solids,KNeighborsClassifier,0.6448,0.4633,0.5143,0.525,0.5196
216,water_potability.csv,Missing,0.8,Solids,GaussianProcessClassifier,0.6159,0.4996,0.5102,0.4864,0.498
217,water_potability.csv,Missing,0.8,Solids,SVC,0.6265,0.4619,0.0,0.0,0.0
218,water_potability.csv,Missing,0.8,Solids,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
219,water_potability.csv,Missing,0.8,Solids,MLPClassifier,0.4436,0.5299,0.649,0.363,0.4656
220,water_potability.csv,Missing,0.8,Solids,SGDClassifier,0.532,,0.4122,0.3826,0.3969
221,water_potability.csv,Missing,0.2,Chloramines,RidgeClassifier,0.8521,,0.7918,0.8083,0.8
222,water_potability.csv,Missing,0.2,Chloramines,LinearDiscriminantAnalysis,0.8537,0.4156,0.8,0.8066,0.8033
223,water_potability.csv,Missing,0.2,Chloramines,QuadraticDiscriminantAnalysis,0.846,0.3955,0.7878,0.7975,0.7926
224,water_potability.csv,Missing,0.2,Chloramines,LogisticRegression,0.8552,0.4102,0.7959,0.8125,0.8041
225,water_potability.csv,Missing,0.2,Chloramines,GaussianNB,0.8582,0.3912,0.8041,0.814,0.809
226,water_potability.csv,Missing,0.2,Chloramines,ExtraTreesClassifier,0.8628,0.3903,0.8041,0.8243,0.814
227,water_potability.csv,Missing,0.2,Chloramines,CatBoostClassifier,0.8567,0.4255,0.8082,0.8082,0.8082
