",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
140,loan_approval.csv,Missing,0.8, income_annum,DecisionTreeClassifier,0.9684,0.5,0.9625,0.9865,0.9744
141,loan_approval.csv,Missing,0.8, income_annum,ExtraTreesClassifier,0.9508,0.7294,0.9606,0.9606,0.9606
142,loan_approval.csv,Missing,0.8, income_annum,QuadraticDiscriminantAnalysis,0.9145,0.8025,0.925,0.9373,0.9311
143,loan_approval.csv,Missing,0.8, income_annum,RidgeClassifier,0.9262,,0.9156,0.9644,0.9394
144,loan_approval.csv,Missing,0.8, income_annum,LinearDiscriminantAnalysis,0.9262,0.6534,0.9137,0.9663,0.9392
145,loan_approval.csv,Missing,0.8, income_annum,LogisticRegression,0.7377,0.6351,0.803,0.7824,0.7926
146,loan_approval.csv,Missing,0.8, income_annum,GaussianNB,0.733,0.9406,0.97,0.7092,0.8193
147,loan_approval.csv,Missing,0.8, income_annum,SVC,0.6241,0.5,1.0,0.6241,0.7686
148,loan_approval.csv,Missing,0.8, income_annum,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
149,loan_approval.csv,Missing,0.8, income_annum,KNeighborsClassifier,0.5445,0.4839,0.728,0.6139,0.6661
150,loan_approval.csv,Missing,0.8, income_annum,MLPClassifier,0.603,0.5,0.8931,0.628,0.7374
151,loan_approval.csv,Missing,0.8, income_annum,SGDClassifier,0.6218,,0.985,0.625,0.7647
152,loan_approval.csv,Missing,0.8, income_annum,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
153,loan_approval.csv,Missing,0.2, loan_amount,RandomForestClassifier,0.9778,0.6121,0.9719,0.9923,0.982
154,loan_approval.csv,Missing,0.2, loan_amount,CatBoostClassifier,0.9801,0.3745,0.9794,0.9886,0.984
155,loan_approval.csv,Missing,0.2, loan_amount,GradientBoostingClassifier,0.9789,0.7698,0.9775,0.9886,0.983
156,loan_approval.csv,Missing,0.2, loan_amount,DecisionTreeClassifier,0.9672,0.5,0.9644,0.9828,0.9735
157,loan_approval.csv,Missing,0.2, loan_amount,AdaBoostClassifier,0.966,0.5029,0.9644,0.9809,0.9726
158,loan_approval.csv,Missing,0.2, loan_amount,ExtraTreesClassifier,0.9508,0.7118,0.9531,0.9676,0.9603
159,loan_approval.csv,Missing,0.2, loan_amount,RidgeClassifier,0.9227,,0.9099,0.9642,0.9363
160,loan_approval.csv,Missing,0.2, loan_amount,QuadraticDiscriminantAnalysis,0.9251,0.802,0.9343,0.945,0.9396
161,loan_approval.csv,Missing,0.2, loan_amount,LinearDiscriminantAnalysis,0.9227,0.6552,0.9099,0.9642,0.9363
162,loan_approval.csv,Missing,0.2, loan_amount,LogisticRegression,0.8044,0.7446,0.9137,0.801,0.8536
163,loan_approval.csv,Missing,0.2, loan_amount,GaussianNB,0.7447,0.9409,0.9662,0.7203,0.8253
164,loan_approval.csv,Missing,0.2, loan_amount,SVC,0.6241,0.5,1.0,0.6241,0.7686
165,loan_approval.csv,Missing,0.2, loan_amount,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
166,loan_approval.csv,Missing,0.2, loan_amount,KNeighborsClassifier,0.5609,0.5101,0.7411,0.625,0.6781
167,loan_approval.csv,Missing,0.2, loan_amount,MLPClassifier,0.6241,0.5,0.9906,0.6256,0.7669
168,loan_approval.csv,Missing,0.2, loan_amount,SGDClassifier,0.5304,,0.6492,0.6179,0.6331
169,loan_approval.csv,Missing,0.2, loan_amount,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
170,loan_approval.csv,Missing,0.4, loan_amount,RandomForestClassifier,0.9731,0.6161,0.97,0.9866,0.9782
171,loan_approval.csv,Missing,0.4, loan_amount,GradientBoostingClassifier,0.9672,0.7254,0.9644,0.9828,0.9735
172,loan_approval.csv,Missing,0.4, loan_amount,CatBoostClassifier,0.9742,0.3596,0.9775,0.9812,0.9793
173,loan_approval.csv,Missing,0.4, loan_amount,AdaBoostClassifier,0.9625,0.5793,0.9625,0.9771,0.9698
174,loan_approval.csv,Missing,0.4, loan_amount,DecisionTreeClassifier,0.966,0.5,0.9606,0.9846,0.9725
175,loan_approval.csv,Missing,0.4, loan_amount,ExtraTreesClassifier,0.9567,0.7299,0.955,0.9751,0.9649
176,loan_approval.csv,Missing,0.4, loan_amount,QuadraticDiscriminantAnalysis,0.9239,0.8062,0.9343,0.9432,0.9387
177,loan_approval.csv,Missing,0.4, loan_amount,LinearDiscriminantAnalysis,0.9251,0.6576,0.9099,0.9681,0.9381
178,loan_approval.csv,Missing,0.4, loan_amount,RidgeClassifier,0.9215,,0.9099,0.9623,0.9354
179,loan_approval.csv,Missing,0.4, loan_amount,LogisticRegression,0.8056,0.7281,0.9062,0.8063,0.8534
180,loan_approval.csv,Missing,0.4, loan_amount,GaussianNB,0.74,0.94,0.9681,0.7157,0.823
181,loan_approval.csv,Missing,0.4, loan_amount,SVC,0.6241,0.5,1.0,0.6241,0.7686
182,loan_approval.csv,Missing,0.4, loan_amount,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
183,loan_approval.csv,Missing,0.4, loan_amount,KNeighborsClassifier,0.5585,0.5238,0.7336,0.6246,0.6747
184,loan_approval.csv,Missing,0.4, loan_amount,MLPClassifier,0.5117,0.5,0.4371,0.6657,0.5277
185,loan_approval.csv,Missing,0.4, loan_amount,SGDClassifier,0.4274,,0.2683,0.5909,0.369
186,loan_approval.csv,Missing,0.4, loan_amount,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
187,loan_approval.csv,Missing,0.6, loan_amount,RandomForestClassifier,0.9754,0.6293,0.9794,0.9812,0.9803
188,loan_approval.csv,Missing,0.6, loan_amount,CatBoostClassifier,0.9696,0.4111,0.9719,0.9792,0.9755
189,loan_approval.csv,Missing,0.6, loan_amount,GradientBoostingClassifier,0.9696,0.7156,0.9662,0.9847,0.9754
190,loan_approval.csv,Missing,0.6, loan_amount,DecisionTreeClassifier,0.9614,0.5,0.9606,0.9771,0.9688
191,loan_approval.csv,Missing,0.6, loan_amount,AdaBoostClassifier,0.9649,0.5487,0.9681,0.9754,0.9718
192,loan_approval.csv,Missing,0.6, loan_amount,ExtraTreesClassifier,0.9496,0.7265,0.9568,0.9623,0.9595
193,loan_approval.csv,Missing,0.6, loan_amount,QuadraticDiscriminantAnalysis,0.9227,0.8081,0.9343,0.9414,0.9379
194,loan_approval.csv,Missing,0.6, loan_amount,RidgeClassifier,0.9215,,0.9099,0.9623,0.9354
195,loan_approval.csv,Missing,0.6, loan_amount,LinearDiscriminantAnalysis,0.9204,0.6573,0.9081,0.9622,0.9344
196,loan_approval.csv,Missing,0.6, loan_amount,LogisticRegression,0.7974,0.6972,0.8818,0.8103,0.8446
197,loan_approval.csv,Missing,0.6, loan_amount,GaussianNB,0.7319,0.9412,0.9681,0.7088,0.8184
198,loan_approval.csv,Missing,0.6, loan_amount,SVC,0.6241,0.5,1.0,0.6241,0.7686
199,loan_approval.csv,Missing,0.6, loan_amount,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
200,loan_approval.csv,Missing,0.6, loan_amount,KNeighborsClassifier,0.5585,0.5161,0.7223,0.627,0.6713
201,loan_approval.csv,Missing,0.6, loan_amount,SGDClassifier,0.6265,,0.9625,0.6318,0.7628
202,loan_approval.csv,Missing,0.6, loan_amount,MLPClassifier,0.6089,0.5,0.9475,0.6227,0.7515
203,loan_approval.csv,Missing,0.6, loan_amount,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
204,loan_approval.csv,Missing,0.8, loan_amount,RandomForestClassifier,0.9672,0.6591,0.9644,0.9828,0.9735
205,loan_approval.csv,Missing,0.8, loan_amount,AdaBoostClassifier,0.966,0.4979,0.9662,0.9791,0.9726
206,loan_approval.csv,Missing,0.8, loan_amount,GradientBoostingClassifier,0.9719,0.7103,0.9681,0.9866,0.9773
207,loan_approval.csv,Missing,0.8, loan_amount,CatBoostClassifier,0.9731,0.4043,0.97,0.9866,0.9782
208,loan_approval.csv,Missing,0.8, loan_amount,DecisionTreeClassifier,0.966,0.5,0.9737,0.9719,0.9728
209,loan_approval.csv,Missing,0.8, loan_amount,ExtraTreesClassifier,0.9438,0.7438,0.9531,0.9567,0.9549
210,loan_approval.csv,Missing,0.8, loan_amount,RidgeClassifier,0.9227,,0.9156,0.9587,0.9367
211,loan_approval.csv,Missing,0.8, loan_amount,QuadraticDiscriminantAnalysis,0.9087,0.8214,0.9343,0.9205,0.9274
212,loan_approval.csv,Missing,0.8, loan_amount,LinearDiscriminantAnalysis,0.9227,0.6565,0.9156,0.9587,0.9367
213,loan_approval.csv,Missing,0.8, loan_amount,LogisticRegression,0.7143,0.6583,0.7842,0.7642,0.7741
214,loan_approval.csv,Missing,0.8, loan_amount,GaussianNB,0.7248,0.9112,0.9794,0.6997,0.8163
215,loan_approval.csv,Missing,0.8, loan_amount,SVC,0.6241,0.5,1.0,0.6241,0.7686
216,loan_approval.csv,Missing,0.8, loan_amount,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
217,loan_approval.csv,Missing,0.8, loan_amount,KNeighborsClassifier,0.5632,0.4957,0.788,0.6176,0.6925
218,loan_approval.csv,Missing,0.8, loan_amount,SGDClassifier,0.6077,,0.9381,0.6234,0.7491
219,loan_approval.csv,Missing,0.8, loan_amount,MLPClassifier,0.5843,0.5031,0.8762,0.6177,0.7246
220,loan_approval.csv,Missing,0.8, loan_amount,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
221,loan_approval.csv,Missing,0.2, loan_term,CatBoostClassifier,0.9859,0.8459,0.9831,0.9943,0.9887
222,loan_approval.csv,Missing,0.2, loan_term,GradientBoostingClassifier,0.9801,0.8651,0.985,0.9831,0.9841
223,loan_approval.csv,Missing,0.2, loan_term,RandomForestClassifier,0.9813,0.7185,0.9775,0.9924,0.9849
224,loan_approval.csv,Missing,0.2, loan_term,AdaBoostClassifier,0.9555,0.6953,0.9568,0.9714,0.9641
225,loan_approval.csv,Missing,0.2, loan_term,DecisionTreeClassifier,0.9789,0.5,0.9756,0.9905,0.983
226,loan_approval.csv,Missing,0.2, loan_term,ExtraTreesClassifier,0.9508,0.7287,0.9531,0.9676,0.9603
227,loan_approval.csv,Missing,0.2, loan_term,QuadraticDiscriminantAnalysis,0.9286,0.7947,0.9325,0.9521,0.9422
228,loan_approval.csv,Missing,0.2, loan_term,RidgeClassifier,0.9145,,0.9062,0.9545,0.9297
229,loan_approval.csv,Missing,0.2, loan_term,LinearDiscriminantAnalysis,0.9157,0.6492,0.9062,0.9564,0.9306
230,loan_approval.csv,Missing,0.2, loan_term,LogisticRegression,0.8068,0.7238,0.9062,0.8077,0.8541
231,loan_approval.csv,Missing,0.2, loan_term,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
232,loan_approval.csv,Missing,0.2, loan_term,SVC,0.6241,0.5,1.0,0.6241,0.7686
233,loan_approval.csv,Missing,0.2, loan_term,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
234,loan_approval.csv,Missing,0.2, loan_term,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
