",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
134,Employee.csv,Missing,0.6,Age,QuadraticDiscriminantAnalysis,0.6896,0.5701,0.5974,0.5201,0.5561
135,Employee.csv,Missing,0.6,Age,SGDClassifier,0.6745,,0.0,0.0,0.0
136,Employee.csv,Missing,0.8,Age,GradientBoostingClassifier,0.8195,0.5776,0.6007,0.7948,0.6842
137,Employee.csv,Missing,0.8,Age,CatBoostClassifier,0.8281,0.6042,0.6337,0.7967,0.7059
138,Employee.csv,Missing,0.8,Age,RandomForestClassifier,0.8142,0.5574,0.6601,0.7407,0.6981
139,Employee.csv,Missing,0.8,Age,ExtraTreesClassifier,0.8077,0.5154,0.6502,0.7296,0.6876
140,Employee.csv,Missing,0.8,Age,GaussianProcessClassifier,0.7626,0.388,0.4752,0.699,0.5658
141,Employee.csv,Missing,0.8,Age,SVC,0.7734,0.4571,0.4686,0.7396,0.5737
142,Employee.csv,Missing,0.8,Age,DecisionTreeClassifier,0.8099,0.5377,0.6601,0.7299,0.6932
143,Employee.csv,Missing,0.8,Age,AdaBoostClassifier,0.7959,0.4644,0.538,0.7653,0.6318
144,Employee.csv,Missing,0.8,Age,KNeighborsClassifier,0.7347,0.4354,0.4356,0.6346,0.5166
145,Employee.csv,Missing,0.8,Age,LinearDiscriminantAnalysis,0.7261,0.3669,0.4323,0.6121,0.5068
146,Employee.csv,Missing,0.8,Age,RidgeClassifier,0.7272,,0.4224,0.6184,0.502
147,Employee.csv,Missing,0.8,Age,LogisticRegression,0.7186,0.3917,0.4092,0.599,0.4863
148,Employee.csv,Missing,0.8,Age,GaussianNB,0.695,0.3882,0.4884,0.5343,0.5103
149,Employee.csv,Missing,0.8,Age,MLPClassifier,0.6745,0.3662,0.0,0.0,0.0
150,Employee.csv,Missing,0.8,Age,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
151,Employee.csv,Missing,0.8,Age,QuadraticDiscriminantAnalysis,0.6971,0.5056,0.4851,0.5385,0.5104
152,Employee.csv,Missing,0.8,Age,SGDClassifier,0.6745,,0.0,0.0,0.0
153,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,CatBoostClassifier,0.8357,0.6264,0.6568,0.8024,0.7223
154,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,GradientBoostingClassifier,0.8249,0.5895,0.6403,0.7823,0.7042
155,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,RandomForestClassifier,0.8088,0.5921,0.6832,0.7163,0.6993
156,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,SVC,0.8099,0.4973,0.5875,0.7739,0.6679
157,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,ExtraTreesClassifier,0.7991,0.5376,0.6667,0.7014,0.6836
158,Employee.csv,Missing,0.2,ExperienceInCurrentDomain,GaussianProcessClassifier,0.7927,0.4176,0.5314,0.7594,0.6252
