",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
87,citrus.csv,Missing,0.2,weight,CatBoostClassifier,1.0,0.6227,1.0,1.0,1.0
88,citrus.csv,Missing,0.2,weight,ExtraTreesClassifier,1.0,0.5136,1.0,1.0,1.0
89,citrus.csv,Missing,0.2,weight,LogisticRegression,1.0,0.5,1.0,1.0,1.0
90,citrus.csv,Missing,0.2,weight,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
91,citrus.csv,Missing,0.2,weight,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
92,citrus.csv,Missing,0.2,weight,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
93,citrus.csv,Missing,0.2,weight,GaussianProcessClassifier,1.0,0.5037,1.0,1.0,1.0
94,citrus.csv,Missing,0.2,weight,MLPClassifier,0.9995,0.5543,1.0,0.999,0.9995
95,citrus.csv,Missing,0.2,weight,QuadraticDiscriminantAnalysis,1.0,0.5226,1.0,1.0,1.0
96,citrus.csv,Missing,0.2,weight,RidgeClassifier,0.9995,,0.999,1.0,0.9995
97,citrus.csv,Missing,0.2,weight,LinearDiscriminantAnalysis,0.9995,0.5014,0.999,1.0,0.9995
98,citrus.csv,Missing,0.2,weight,SGDClassifier,0.9995,,0.999,1.0,0.9995
99,citrus.csv,Missing,0.2,weight,GaussianNB,0.9485,0.4843,0.9533,0.9469,0.9501
100,citrus.csv,Missing,0.2,weight,SVC,0.5085,0.3487,0.0438,1.0,0.0839
101,citrus.csv,Missing,0.2,weight,DummyClassifier,0.486,0.5,0.0,0.0,0.0
102,citrus.csv,Missing,0.4,weight,LogisticRegression,1.0,0.5,1.0,1.0,1.0
103,citrus.csv,Missing,0.4,weight,RandomForestClassifier,1.0,0.5027,1.0,1.0,1.0
104,citrus.csv,Missing,0.4,weight,CatBoostClassifier,1.0,0.5722,1.0,1.0,1.0
105,citrus.csv,Missing,0.4,weight,ExtraTreesClassifier,1.0,0.507,1.0,1.0,1.0
106,citrus.csv,Missing,0.4,weight,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
107,citrus.csv,Missing,0.4,weight,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
108,citrus.csv,Missing,0.4,weight,GaussianProcessClassifier,1.0,0.5018,1.0,1.0,1.0
109,citrus.csv,Missing,0.4,weight,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
110,citrus.csv,Missing,0.4,weight,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
111,citrus.csv,Missing,0.4,weight,QuadraticDiscriminantAnalysis,1.0,0.5207,1.0,1.0,1.0
112,citrus.csv,Missing,0.4,weight,MLPClassifier,1.0,0.506,1.0,1.0,1.0
113,citrus.csv,Missing,0.4,weight,RidgeClassifier,0.9995,,0.999,1.0,0.9995
114,citrus.csv,Missing,0.4,weight,LinearDiscriminantAnalysis,0.9995,0.4986,0.999,1.0,0.9995
115,citrus.csv,Missing,0.4,weight,SGDClassifier,1.0,,1.0,1.0,1.0
116,citrus.csv,Missing,0.4,weight,GaussianNB,0.95,0.4843,0.9553,0.9479,0.9516
117,citrus.csv,Missing,0.4,weight,SVC,0.5025,0.3809,0.0321,1.0,0.0622
118,citrus.csv,Missing,0.4,weight,DummyClassifier,0.486,0.5,0.0,0.0,0.0
119,citrus.csv,Missing,0.6,weight,LogisticRegression,1.0,0.5,1.0,1.0,1.0
120,citrus.csv,Missing,0.6,weight,ExtraTreesClassifier,1.0,0.5043,1.0,1.0,1.0
121,citrus.csv,Missing,0.6,weight,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
122,citrus.csv,Missing,0.6,weight,CatBoostClassifier,1.0,0.5662,1.0,1.0,1.0
123,citrus.csv,Missing,0.6,weight,RandomForestClassifier,1.0,0.496,1.0,1.0,1.0
124,citrus.csv,Missing,0.6,weight,GaussianProcessClassifier,1.0,0.5018,1.0,1.0,1.0
125,citrus.csv,Missing,0.6,weight,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
126,citrus.csv,Missing,0.6,weight,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
127,citrus.csv,Missing,0.6,weight,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
128,citrus.csv,Missing,0.6,weight,MLPClassifier,1.0,0.475,1.0,1.0,1.0
129,citrus.csv,Missing,0.6,weight,QuadraticDiscriminantAnalysis,1.0,0.5217,1.0,1.0,1.0
130,citrus.csv,Missing,0.6,weight,RidgeClassifier,0.9995,,0.999,1.0,0.9995
131,citrus.csv,Missing,0.6,weight,LinearDiscriminantAnalysis,0.9995,0.4983,0.999,1.0,0.9995
132,citrus.csv,Missing,0.6,weight,GaussianNB,0.9515,0.4838,0.9572,0.9489,0.953
133,citrus.csv,Missing,0.6,weight,SGDClassifier,0.9975,,1.0,0.9952,0.9976
134,citrus.csv,Missing,0.6,weight,SVC,0.4995,0.3978,0.0263,1.0,0.0512
135,citrus.csv,Missing,0.6,weight,DummyClassifier,0.486,0.5,0.0,0.0,0.0
136,citrus.csv,Missing,0.8,weight,LogisticRegression,1.0,0.5,1.0,1.0,1.0
137,citrus.csv,Missing,0.8,weight,ExtraTreesClassifier,1.0,0.5025,1.0,1.0,1.0
138,citrus.csv,Missing,0.8,weight,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
139,citrus.csv,Missing,0.8,weight,CatBoostClassifier,1.0,0.4777,1.0,1.0,1.0
140,citrus.csv,Missing,0.8,weight,RandomForestClassifier,1.0,0.4666,1.0,1.0,1.0
141,citrus.csv,Missing,0.8,weight,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
142,citrus.csv,Missing,0.8,weight,GaussianProcessClassifier,0.9995,0.4999,0.999,1.0,0.9995
143,citrus.csv,Missing,0.8,weight,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
144,citrus.csv,Missing,0.8,weight,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
145,citrus.csv,Missing,0.8,weight,QuadraticDiscriminantAnalysis,1.0,0.5232,1.0,1.0,1.0
146,citrus.csv,Missing,0.8,weight,RidgeClassifier,0.9995,,0.999,1.0,0.9995
147,citrus.csv,Missing,0.8,weight,LinearDiscriminantAnalysis,0.9995,0.4978,0.999,1.0,0.9995
148,citrus.csv,Missing,0.8,weight,MLPClassifier,1.0,0.5038,1.0,1.0,1.0
