",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
114,7,satimage_sample3600.csv,missing,0.4,[Fattr],Hierarchical Clustering,,,,,,0.5694,0.338,6.0
115,7,satimage_sample3600.csv,missing,0.5,[Fattr],K-Means,,,,,,0.5943,0.3516,6.0
116,7,satimage_sample3600.csv,missing,0.5,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
117,7,satimage_sample3600.csv,missing,0.5,[Fattr],Gaussian Mixture Model,,,,,,0.5778,0.1862,6.0
118,7,satimage_sample3600.csv,missing,0.5,[Fattr],BIRCH,,,,,,0.4743,0.2877,6.0
119,7,satimage_sample3600.csv,missing,0.5,[Fattr],Hierarchical Clustering,,,,,,0.5592,0.3533,6.0
120,7,satimage_sample3600.csv,missing,0.6,[Fattr],K-Means,,,,,,0.5925,0.3518,6.0
121,7,satimage_sample3600.csv,missing,0.6,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
122,7,satimage_sample3600.csv,missing,0.6,[Fattr],Gaussian Mixture Model,,,,,,0.5974,0.1994,6.0
123,7,satimage_sample3600.csv,missing,0.6,[Fattr],BIRCH,,,,,,0.5189,0.2906,6.0
124,7,satimage_sample3600.csv,missing,0.6,[Fattr],Hierarchical Clustering,,,,,,0.5733,0.3452,6.0
125,7,satimage_sample3600.csv,missing,0.7,[Fattr],K-Means,,,,,,0.5906,0.3517,6.0
126,7,satimage_sample3600.csv,missing,0.7,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
127,7,satimage_sample3600.csv,missing,0.7,[Fattr],Gaussian Mixture Model,,,,,,0.5607,0.1263,6.0
128,7,satimage_sample3600.csv,missing,0.7,[Fattr],BIRCH,,,,,,0.5084,0.3206,6.0
129,7,satimage_sample3600.csv,missing,0.7,[Fattr],Hierarchical Clustering,,,,,,0.574,0.3537,6.0
130,7,satimage_sample3600.csv,missing,0.8,[Fattr],K-Means,,,,,,0.5004,0.2999,6.0
131,7,satimage_sample3600.csv,missing,0.8,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
132,7,satimage_sample3600.csv,missing,0.8,[Fattr],Gaussian Mixture Model,,,,,,0.3719,0.1883,4.0
133,7,satimage_sample3600.csv,missing,0.8,[Fattr],BIRCH,,,,,,0.4817,0.2795,6.0
134,7,satimage_sample3600.csv,missing,0.8,[Fattr],Hierarchical Clustering,,,,,,0.573,0.3467,6.0
135,7,satimage_sample3600.csv,missing,0.9,[Fattr],K-Means,,,,,,0.5237,0.3238,6.0
136,7,satimage_sample3600.csv,missing,0.9,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
137,7,satimage_sample3600.csv,missing,0.9,[Fattr],Gaussian Mixture Model,,,,,,0.548,0.1232,6.0
138,7,satimage_sample3600.csv,missing,0.9,[Fattr],BIRCH,,,,,,0.4535,0.2969,6.0
139,7,satimage_sample3600.csv,missing,0.9,[Fattr],Hierarchical Clustering,,,,,,0.5669,0.3334,6.0
140,7,satimage_sample3600.csv,missing,0.1,[C9attr],K-Means,,,,,,0.5014,0.3036,6.0
141,7,satimage_sample3600.csv,missing,0.1,[C9attr],HDBSCAN,,,,,,0.2437,0.2515,4.0
142,7,satimage_sample3600.csv,missing,0.1,[C9attr],Gaussian Mixture Model,,,,,,0.5166,0.0616,6.0
143,7,satimage_sample3600.csv,missing,0.1,[C9attr],BIRCH,,,,,,0.5527,0.2862,6.0
144,7,satimage_sample3600.csv,missing,0.1,[C9attr],Hierarchical Clustering,,,,,,0.5703,0.3388,6.0
145,7,satimage_sample3600.csv,missing,0.2,[C9attr],K-Means,,,,,,0.5827,0.3504,6.0
146,7,satimage_sample3600.csv,missing,0.2,[C9attr],HDBSCAN,,,,,,0.2476,0.2826,3.0
147,7,satimage_sample3600.csv,missing,0.2,[C9attr],Gaussian Mixture Model,,,,,,0.5054,0.036,6.0
148,7,satimage_sample3600.csv,missing,0.2,[C9attr],BIRCH,,,,,,0.5406,0.3192,6.0
149,7,satimage_sample3600.csv,missing,0.2,[C9attr],Hierarchical Clustering,,,,,,0.5744,0.3459,6.0
150,7,satimage_sample3600.csv,missing,0.3,[C9attr],K-Means,,,,,,0.5859,0.3517,6.0
151,7,satimage_sample3600.csv,missing,0.3,[C9attr],HDBSCAN,,,,,,0.2476,0.2826,3.0
152,7,satimage_sample3600.csv,missing,0.3,[C9attr],Gaussian Mixture Model,,,,,,0.5041,0.04,6.0
153,7,satimage_sample3600.csv,missing,0.3,[C9attr],BIRCH,,,,,,0.5305,0.2618,6.0
154,7,satimage_sample3600.csv,missing,0.3,[C9attr],Hierarchical Clustering,,,,,,0.5934,0.346,6.0
155,7,satimage_sample3600.csv,missing,0.4,[C9attr],K-Means,,,,,,0.4763,0.3173,6.0
156,7,satimage_sample3600.csv,missing,0.4,[C9attr],HDBSCAN,,,,,,0.244,0.2529,4.0
157,7,satimage_sample3600.csv,missing,0.4,[C9attr],Gaussian Mixture Model,,,,,,0.4814,0.1072,6.0
158,7,satimage_sample3600.csv,missing,0.4,[C9attr],BIRCH,,,,,,0.4986,0.3056,6.0
159,7,satimage_sample3600.csv,missing,0.4,[C9attr],Hierarchical Clustering,,,,,,0.5681,0.3406,6.0
160,7,satimage_sample3600.csv,missing,0.5,[C9attr],K-Means,,,,,,0.5821,0.3498,6.0
161,7,satimage_sample3600.csv,missing,0.5,[C9attr],HDBSCAN,,,,,,0.2432,0.2708,4.0
162,7,satimage_sample3600.csv,missing,0.5,[C9attr],Gaussian Mixture Model,,,,,,0.5308,0.1706,6.0
163,7,satimage_sample3600.csv,missing,0.5,[C9attr],BIRCH,,,,,,0.5097,0.2834,6.0
164,7,satimage_sample3600.csv,missing,0.5,[C9attr],Hierarchical Clustering,,,,,,0.5673,0.3396,6.0
165,7,satimage_sample3600.csv,missing,0.6,[C9attr],K-Means,,,,,,0.5855,0.3503,6.0
166,7,satimage_sample3600.csv,missing,0.6,[C9attr],HDBSCAN,,,,,,0.2455,0.2727,4.0
167,7,satimage_sample3600.csv,missing,0.6,[C9attr],Gaussian Mixture Model,,,,,,0.5638,0.2005,5.0
168,7,satimage_sample3600.csv,missing,0.6,[C9attr],BIRCH,,,,,,0.5538,0.2843,6.0
169,7,satimage_sample3600.csv,missing,0.6,[C9attr],Hierarchical Clustering,,,,,,0.5327,0.3447,6.0
170,7,satimage_sample3600.csv,missing,0.7,[C9attr],K-Means,,,,,,0.5932,0.3523,6.0
171,7,satimage_sample3600.csv,missing,0.7,[C9attr],HDBSCAN,,,,,,0.2446,0.2324,4.0
172,7,satimage_sample3600.csv,missing,0.7,[C9attr],Gaussian Mixture Model,,,,,,0.5807,0.1179,5.0
173,7,satimage_sample3600.csv,missing,0.7,[C9attr],BIRCH,,,,,,0.4945,0.2747,6.0
174,7,satimage_sample3600.csv,missing,0.7,[C9attr],Hierarchical Clustering,,,,,,0.5914,0.3511,6.0
175,7,satimage_sample3600.csv,missing,0.8,[C9attr],K-Means,,,,,,0.5928,0.3522,6.0
176,7,satimage_sample3600.csv,missing,0.8,[C9attr],HDBSCAN,,,,,,0.2389,0.25,6.0
177,7,satimage_sample3600.csv,missing,0.8,[C9attr],Gaussian Mixture Model,,,,,,0.5597,0.1473,4.0
178,7,satimage_sample3600.csv,missing,0.8,[C9attr],BIRCH,,,,,,0.5336,0.289,6.0
